Reference,Part Number,Manufacturer,Description,Qty,Value,Package,Digi-Key Link,Alternate Part,RoHS,REACH,Lifecycle,Lead Time (wks),Unit Cost (USD),Total Cost (USD),Notes
U1,DRV8833PWPR,Texas Instruments,Dual H-Bridge Motor Driver 10.8V 1.5A,1,—,HTSSOP-16,https://www.digikey.com/en/products/detail/texas-instruments/DRV8833PWPR/3845940,DRV8833CPWPR,Yes,Compliant,Active,4–6,$1.85,$1.85,PWM 16-20kHz; current sense via AISEN/BISEN
U2,STM32F407VGT6,STMicroelectronics,ARM Cortex-M4 MCU 168MHz 1MB Flash Industrial,1,—,LQFP-100,https://www.digikey.com/en/products/detail/stmicroelectronics/STM32F407VGT6/2747289,STM32F407IGT6,Yes,Compliant,Active,8–12,$12.50,$12.50,Industrial grade -40 to +85C; 12-bit ADC; USB OTG
U3,ADP3338AKCZ-3.3-R7,Analog Devices,LDO Regulator 3.3V 1A Low Dropout,1,3.3V,SOT-223,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP3338AKCZ-3-3-R7/823528,LD1117S33CTR,Yes,Compliant,Active,4–6,$2.10,$2.10,PSRR 65dB; Iq=75uA; medical-grade noise
U4,ADP3338AKCZ-5.0-R7,Analog Devices,LDO Regulator 5.0V 1A Low Dropout,1,5.0V,SOT-223,https://www.digikey.com/en/products/detail/analog-devices-inc/ADP3338AKCZ-5-0-R7/948135,LD1117S50CTR,Yes,Compliant,Active,4–6,$2.10,$2.10,5V rail for sensors and logic peripherals
D1,1N4007-T,Diodes Inc.,Rectifier Diode 1A 1000V,4,1N4007,DO-41,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4007-T/408762,1N4007DICT-ND,Yes,Compliant,Active,1–2,$0.10,$0.40,Freewheeling diode; one per motor terminal
D2,PRTR5V0U2X,Nexperia,Dual ESD Protection 5.0V TVS,2,5.0V,SOT-363,https://www.digikey.com/en/products/detail/nexperia-usa-inc/PRTR5V0U2X-215/1021655,PESD5V0S2UA,Yes,Compliant,Active,2–4,$0.35,$0.70,ESD on analog inputs; Vc=7.5V; 15kV IEC 61000-4-2
C1,EEA-GA1C101B,Panasonic,Electrolytic Cap 100uF 16V 105C,2,100uF,Radial 6.3x11mm,https://www.digikey.com/en/products/detail/panasonic-electronic-components/EEA-GA1C101B/168024,UVR1C101MPD,Yes,Compliant,Active,2–4,$0.28,$0.56,Motor supply bulk cap; 105C rated
C2,C0603C106K8PAC7867,KEMET,MLCC 10uF 10V X7R 0603,4,10uF,0603,https://www.digikey.com/en/products/detail/kemet/C0603C106K8PAC7867/2211779,GRM188R71A106KA73D,Yes,Compliant,Active,1–2,$0.15,$0.60,DRV8833 VM bypass; LDO output
C3,C0402C104K5RAC7867,KEMET,MLCC 100nF 50V X7R 0402,12,100nF,0402,https://www.digikey.com/en/products/detail/kemet/C0402C104K5RAC7867/2211635,GRM155R71H104KA12D,Yes,Compliant,Active,1–2,$0.05,$0.60,General bypass; IC supply pins
C4,T491A226K010AT,Kemet,Tantalum Cap 22uF 10V X7R,2,22uF,1206,https://www.digikey.com/en/products/detail/kemet/T491A226K010AT/818579,TAJD226K010RNJ,Yes,Compliant,Active,2–4,$0.42,$0.84,LDO output stability; ADC supply
R1,RC0402FR-07100RL,Yageo,Resistor 100 Ohm 1% 62.5mW,6,100R,0402,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07100RL/726702,CRCW0402100RFKED,Yes,Compliant,Active,1–2,$0.05,$0.30,ESD series resistor on analog inputs
R2,RC0402FR-07470RL,Yageo,Resistor 470 Ohm 1% 62.5mW,4,470R,0402,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07470RL/726755,CRCW0402470RFKED,Yes,Compliant,Active,1–2,$0.05,$0.20,LED current limiting; pull-down
R3,WSL2512R4700FEA,Vishay,Current Sense Resistor 0.47 Ohm 1% 1W,2,0.47R,2512,https://www.digikey.com/en/products/detail/vishay-dale/WSL2512R4700FEA/1/,WSLP2512R4700FEB,Yes,Compliant,Active,4–6,$0.65,$1.30,DRV8833 current sense; 2512 for thermal
R4,RC0402FR-07220RL,Yageo,Resistor 220 Ohm 1% 62.5mW,4,220R,0402,https://www.digikey.com/en/products/detail/yageo/RC0402FR-07220RL/726723,CRCW0402220RFKED,Yes,Compliant,Active,1–2,$0.05,$0.20,Pull-up resistors; status LEDs
Y1,ABM8-8.000MHZ-B2-T,Abracon,Crystal 8MHz 18pF,1,8MHz,SMD 3.2x2.5mm,https://www.digikey.com/en/products/detail/abracon-llc/ABM8-8-000MHZ-B2-T/1479662,ECS-80-18-5PXEN-TR,Yes,Compliant,Active,2–4,$0.55,$0.55,MCU clock source; 18pF load; -20 to +70C
SW1,PB6B3,NKK Switches,Emergency Stop Switch N.O. 16A 250V Momentary,1,—,22mm Panel Mount,https://www.digikey.com/en/products/detail/nkk-switches/PB6B3/1056887,APEM5136,Yes,Compliant,Active,4–8,$8.50,$8.50,E-stop channel 1; IEC 60947-5-1; red mushroom
SW2,PB6B3,NKK Switches,Emergency Stop Switch N.O. 16A 250V Momentary,1,—,22mm Panel Mount,https://www.digikey.com/en/products/detail/nkk-switches/PB6B3/1056887,APEM5136,Yes,Compliant,Active,4–8,$8.50,$8.50,E-stop channel 2; dual-channel safety
J1,5103308-1,TE Connectivity,Medical Connector 12-pin Locking 3A,1,—,Through-hole,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5103308-1/771755,0906750121,Yes,Compliant,Active,6–10,$4.25,$4.25,Sensor/signal connector; locking; color-coded
J2,770602-2,TE Connectivity,Power Connector 2-pin 15A Locking,1,—,Through-hole,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/770602-2/1153236,5557-02R-BL,Yes,Compliant,Active,4–6,$1.85,$1.85,Main power input; locking; keyed against reversal
TP1,5002,Keystone Electronics,Test Point Loop 1mm Red,10,—,SMD,https://www.digikey.com/en/products/detail/keystone-electronics/5002/317600,RS-5002-R,Yes,Compliant,Active,1–2,$0.18,$1.80,Critical net test points; motor supply GND ADC refs
Fuse1,RXEF075,Littelfuse,Polyfuse Resettable Fuse 0.75A hold 6A trip,1,6A trip,1812,https://www.digikey.com/en/products/detail/littelfuse-inc/RXEF075/174836,MF-R075,Yes,Compliant,Active,2–4,$0.65,$0.65,Motor supply input; UL 248 listed; 16V max
PCB,—,Custom (JLCPCB / PCBWay),4-Layer FR4 1.6mm HASL Pb-free IPC-A-600 Class 3,1,—,Custom,https://jlcpcb.com,PCBWay,Yes,Compliant,Active,2–3 (standard),$35.00,$35.00,Gerbers in 05_MANUFACTURING/gerbers/; 10-piece min
